bin num,object count,object size sum (bytes),bin start,bin start (human),object count cumul sum,object size cumul sum (bytes)
0,3339143,0,0,0,3339143,0
1,226977,226977,1,1,3566120,226977
2,164845,382418,2,2,3730965,609395
3,403919,1782436,4,4,4134884,2391831
4,320082,3674712,8,8,4454966,6066543
5,1542875,38283780,16,16,5997841,44350323
6,1695922,82722401,32,32,7693763,127072724
7,2035951,191009208,64,64,9729714,318081932
8,4354504,853034187,128,128,14084218,1171116119
9,4429555,1664669464,256,256,18513773,2835785583
10,5682980,4163482244,512,512,24196753,6999267827
11,6448173,9860650083,1024,1 KiB,30644926,16859917910
12,8197624,25039298478,2048,2 KiB,38842550,41899216388
13,9114696,55493969163,4096,4 KiB,47957246,97393185551
14,11855922,135359203481,8192,8 KiB,59813168,232752389032
15,8525638,199261133768,16384,16 KiB,68338806,432013522800
16,14138367,738864653853,32768,32 KiB,82477173,1170878176653
17,8464523,817341680797,65536,64 KiB,90941696,1988219857450
18,9755477,1908017345568,131072,128 KiB,100697173,3896237203018
19,9017103,3478648633056,262144,256 KiB,109714276,7374885836074
20,9625523,7248532013373,524288,512 KiB,119339799,14623417849447
21,15345589,24490366665837,1048576,1 MiB,134685388,39113784515284
22,13280887,39538905992702,2097152,2 MiB,147966275,78652690507986
23,9973572,63456538484425,4194304,4 MiB,157939847,142109228992411
24,9597603,117859065089433,8388608,8 MiB,167537450,259968294081844
25,9105986,216969618157913,16777216,16 MiB,176643436,476937912239757
26,14665456,667234738203482,33554432,32 MiB,191308892,1144172650443239
27,6512284,617614485523863,67108864,64 MiB,197821176,1761787135967102
28,7358259,1445920705115919,134217728,128 MiB,205179435,3207707841083021
29,9782937,3380731118922897,268435456,256 MiB,214962372,6588438960005918
30,6059307,4602999568418575,536870912,512 MiB,221021679,11191438528424493
31,4133437,6057204534929136,1073741824,1 GiB,225155116,17248643063353629
32,3138710,9274949139067584,2147483648,2 GiB,228293826,26523592202421213
33,2057568,11719007347128174,4294967296,4 GiB,230351394,38242599549549387
34,749422,9117460580148008,8589934592,8 GiB,231100816,47360060129697395
35,594580,14541106040841146,17179869184,16 GiB,231695396,61901166170538541
36,740626,31144838184621344,34359738368,32 GiB,232436022,93046004355159885
37,216536,21293755871270784,68719476736,64 GiB,232652558,114339760226430669
38,125429,23952083742430408,137438953472,128 GiB,232777987,138291843968861077
39,38892,15484956924671668,274877906944,256 GiB,232816879,153776800893532745
40,18213,13802864720512272,549755813888,512 GiB,232835092,167579665614045017
41,6207,9653733399040736,1099511627776,1 TiB,232841299,177233399013085753
42,2934,9136273355775674,2199023255552,2 TiB,232844233,186369672368861427
43,967,5683694776009958,4398046511104,4 TiB,232845200,192053367144871385
44,432,5328197589493408,8796093022208,8 TiB,232845632,197381564734364793
45,60,1242449971550777,17592186044416,16 TiB,232845692,198624014705915570
46,8,329003553909368,35184372088832,32 TiB,232845700,198953018259824938
